Subnet Name	Needed Size	Allocated Size	Address	Mask	Dec Mask	Assignable Range	Broadcast
VLAN40	414	510	10.0.0.0	/23	255.255.254.0	10.0.0.1 - 10.0.1.254	10.0.1.255
VLAN30	201	254	10.0.2.0	/24	255.255.255.0	10.0.2.1 - 10.0.2.254	10.0.2.255
VLAN50	109	126	10.0.3.0	/25	255.255.255.128	10.0.3.1 - 10.0.3.126	10.0.3.127
VLAN10	58	62	10.0.3.128	/26	255.255.255.192	10.0.3.129 - 10.0.3.190	10.0.3.191
VLAN60	54	62	10.0.3.192	/26	255.255.255.192	10.0.3.193 - 10.0.3.254	10.0.3.255
VLAN20	12	14	10.0.4.0	/28	255.255.255.240	10.0.4.1 - 10.0.4.14	10.0.4.15
BACK1	3	6	10.0.4.16	/29	255.255.255.248	10.0.4.17 - 10.0.4.22	10.0.4.23
BACK2	3	6	10.0.4.24	/29	255.255.255.248	10.0.4.25 - 10.0.4.30	10.0.4.31
BACK3	3	6	10.0.4.32	/29	255.255.255.248	10.0.4.33 - 10.0.4.38	10.0.4.39
BACK4	3	6	10.0.4.40	/29	255.255.255.248	10.0.4.41 - 10.0.4.46	10.0.4.47
BACK5	3	6	10.0.4.48	/29	255.255.255.248	10.0.4.49 - 10.0.4.54	10.0.4.55
